[2025-10-25 22:44:29,610] [INFO] root: Logging system initialized!
[2025-10-25 22:44:29,610] [INFO] comm: Starting uplinker/downlinker connecting to FSW using ip with fprime
[2025-10-25 22:44:29,610] [INFO] transport: Incoming binding to: ipc:///tmp/fprime-server-in
[2025-10-25 22:44:29,611] [INFO] udp_handler: Client connected to 127.0.0.1:50000
[2025-10-25 22:45:50,636] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:51,637] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:52,637] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:53,637] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:54,638] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:55,638] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:56,638] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:57,638] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:58,639] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:45:59,639] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:00,639] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:01,640] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:02,640] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:03,640] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:04,640] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:05,641] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:06,641] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:07,641] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:08,641] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:09,642] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:10,642] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:11,642] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:12,643] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:13,643] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:14,644] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:15,644] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
[2025-10-25 22:46:16,644] [WARNING] tcp_handler: Failed to open socket at 127.0.0.1:50000, retrying: ConnectionRefusedError: [Errno 61] Connection refused
